price,size,bed_rooms,toilets,house_type,property_legal_document,city,district,ward,street,floors
1299000000.0,1086.0,,,,Đã có sổ,Bà Rịa - Vũng Tàu,Huyện Châu Đức,Xã Quảng Thành,Kim Long - Quảng Thành,
2950000000.0,40.0,2.0,,"Nhà mặt phố, mặt tiền",,Tp Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,Hương Lộ 2,
2000000000.0,150.0,6.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,Bình Dương,Thị xã Bến Cát,Phường Thới Hòa,Quốc lộ 13,
850000000.0,105.0,,,,,Bình Dương,Thị xã Bến Cát,Phường Tân Định,D8,
5000000000.0,100.0,,,,Đã có sổ,Bình Dương,Thành phố Dĩ An,Phường An Bình,Truông Tre,
3400000000.0,2000.0,,,,Đã có sổ,Đồng Nai,Huyện Long Thành,Xã Tam An,Đường Duơng Diên Nghệ,
4500000000.0,82.0,8.0,7.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Bình Dương,Thành phố Dĩ An,Phường Tân Đông Hiệp,Ông Nước,1.0
1360000000.0,46.0,2.0,1.0,,Hợp đồng mua bán,Bình Dương,Thành phố Thủ Dầu Một,Phường Phú Thọ,"Phan Bội Châu, phường Phú Thọ, TP Thủ Dầu Một, Bình Dương",
2500000000.0,240.0,,,,Đã có sổ,Tp Hồ Chí Minh,Huyện Củ Chi,Xã An Nhơn Tây,Đường Đỗ Đăng Tuyến,
2200000000.0,500.0,,,,Đã có sổ,Bà Rịa - Vũng Tàu,Thị xã Phú Mỹ,Xã Tóc Tiên,hắc dịch tóc tiên,
13800000000.0,4762.0,,,,Đã có sổ,Đồng Nai,Huyện Long Thành,Xã Phước Thái,ẤP 1 C,
2990000000.0,40.0,2.0,,"Nhà mặt phố, mặt tiền",Đang chờ sổ,Tp Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,Bình Trị Đông,
3690000000.0,68.0,2.0,2.0,,Hợp đồng mua bán,Tp Hồ Chí Minh,Quận 7,Phường Phú Thuận,Đào Trí,
700000000.0,260.0,,,,Đã có sổ,Đồng Nai,Huyện Thống Nhất,Xã Gia Tân 2,Đường Quốc lộ 20,
560000000.0,3496.0,,,,Đã có sổ,Bình Phước,Huyện Đồng Phú,Xã Đồng Tiến,QL 14,
9980000000.0,145.0,3.0,2.0,,Sổ hồng riêng,Tp Hồ Chí Minh,Quận Phú Nhuận,Phường 1,Phan Đăng Lưu,
45000000000.0,12000.0,11.0,7.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Bến Tre,Huyện Châu Thành,Xã Thành Triệu,Đường Lộ Thơ,
4000000000.0,887.0,,,,Đã có sổ,Bình Dương,Thành phố Thủ Dầu Một,Phường Tân An,1 Sec Nguyễn Chí Thanh,
2200000000.0,100.0,,,,Đã có sổ,Bình Dương,Thành phố Thủ Dầu Một,Phường Phú Mỹ,Bê Tông 5m,
950000000.0,50.0,1.0,1.0,,Sổ hồng riêng,Bình Dương,Thành phố Thuận An,Phường Hưng Định,Đường Đại Lộ Bình Dương,
160000000.0,1000.0,,,,Đã có sổ,Bình Phước,Huyện Đồng Phú,Xã Đồng Tâm,DT 312,
5700000000.0,400.0,,,,Đã có sổ,Bà Rịa - Vũng Tàu,Thị xã Phú Mỹ,Xã Tóc Tiên,Hắc Dịch Tóc Tiên,
2390000000.0,237.0,,,,Đã có sổ,Đồng Nai,Huyện Trảng Bom,Xã Quảng Tiến,Quảng Tiến 22,
2500000000.0,118.0,,,,Đã có sổ,Đồng Nai,Huyện Trảng Bom,Thị trấn Trảng Bom,Đường Ngô Quyền,
1300000000.0,59.0,2.0,2.0,,Sổ hồng riêng,Bình Dương,Thành phố Thuận An,Phường Bình Hòa,Đường Nguyễn Du,
9200000000.0,160.0,,,,Đã có sổ,Tp Hồ Chí Minh,Quận 12,Phường Thới An,Lê Thị Riêng,
