street,ward,district,city,size,property_legal_document,bed_rooms,toilets,floors,price,house_type
Nguyễn Văn Linh,Thạch Bàn,Long Biên,Hà Nội,30.8,7,3,3,5,74.0,3
Ngọc Khánh,Giảng Võ,Ba Đình,Hà Nội,46.6,7,3,3,2,912.0,3
Hoàng Hoa Thám,Liễu Giai,Ba Đình,Hà Nội,32.8,7,3,3,4,89.0,3
Trung Liệt,Trung Liệt,Đống Đa,Hà Nội,51.0,7,7,3,7,205.0,3
Nguyễn Lương Bằng,Nam Dong,Đống Đa,Hà Nội,40.1,7,7,3,3,82.0,3
Chính Kinh,Nhân Chính,Thanh Xuân,Hà Nội,39.5,7,3,3,1,81.0,3
Yên Hòa,Yên Hòa,Cầu Giấy,Hà Nội,67.6,7,3,3,7,219.0,3
Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,Hà Nội,37.3,7,3,3,7,128.0,3
Trung Kính,Trung Hoà,Cầu Giấy,Hà Nội,80.6,7,3,3,6,228.0,3
Xuân Đỗ,Cự Khối,Long Biên,Hà Nội,104.0,7,3,3,5,145.0,3
Vĩnh Phúc,Vĩnh Phúc,Ba Đình,Hà Nội,41.7,7,3,3,9,30.0,3
Đại Mỗ,Đại Mỗ,Nam Từ Liêm,Hà Nội,131.2,7,3,3,8,385.0,3
Tân Mai,Tân Mai,Hoàng Mai,Hà Nội,53.4,7,3,5,3,145.0,3
Trần Khát Chân,Thanh Nhàn,Hai Bà Trưng,Hà Nội,39.9,7,3,9,4,165.0,3
Nguyễn Văn Linh,Thạch Bàn,Long Biên,Hà Nội,86.5,7,3,3,8,269.0,3
Bằng Liệt,Hoàng Liệt,Hoàng Mai,Hà Nội,101.0,7,3,5,5,255.0,3
Bát Khối,Cự Khối,Long Biên,Hà Nội,82.9,7,3,3,3,168.0,3
Lạc Long Quân,Bưởi,Tây Hồ,Hà Nội,90.7,7,3,3,6,27.0,3
Triều Khúc,Thanh Xuân Bắc,Thanh Xuân,Hà Nội,109.8,7,3,3,7,255.0,3
Khâm Thiên,Văn Chương,Đống Đa,Hà Nội,32.5,7,7,3,5,4691.0,3
